,X1Procedurální,X2Procedurální,X3Rovnost,X4Potøeby,X5Potøeby,X6Procedurální,X7Procedurální,X8Procedurální,X9Potøeby,X10Rovnost,X11Potøeby,X12Zásluhy,X13Zásluhy,X14Rovnost,X15Rovnost,X16Potøeby,X17Rovnost,X18Potøeby,X19Zásluhy,X20Zásluhy,X21Zásluhy,X22Rovnost,X23Procedurální,X24Procedurální,X25Zásluhy,X26Procedurální
1,7,7,4,4,3,3,5,7,1,7,2,7,7,6,6,6,6,2,7,7,7,7,1,2,5,6
2,6,5,7,5,6,5,7,6,3,5,4,5,4,6,7,5,5,4,4,4,5,6,6,7,4,6
3,6,6,4,6,4,6,7,7,2,5,3,5,6,2,2,6,2,6,6,6,6,6,6,6,7,7
4,7,7,5,7,7,6,7,7,3,7,3,4,6,5,7,7,5,6,6,6,5,5,7,7,7,7
5,7,7,5,4,4,5,7,7,2,4,4,7,7,3,4,6,3,5,6,7,7,4,5,6,6,7
6,7,6,5,4,5,4,7,7,4,4,4,5,7,6,5,6,4,5,7,7,7,7,6,7,7,7
7,7,7,2,4,5,6,7,7,2,6,3,6,6,3,4,7,5,4,6,6,6,7,7,7,7,6
8,7,6,5,4,5,7,4,6,2,4,2,7,6,7,7,5,6,6,5,5,6,7,4,3,5,7
9,7,6,6,4,5,6,6,6,4,6,4,5,5,5,6,5,5,4,5,6,6,6,7,5,6,6
10,7,7,7,7,6,7,7,7,6,6,4,3,6,5,7,6,4,6,7,7,4,7,7,6,7,7
11,6,7,2,1,7,5,7,7,4,4,6,5,6,2,6,6,7,4,6,4,5,6,5,5,4,7
12,7,7,7,7,7,5,6,6,3,6,6,7,7,3,6,6,5,7,6,6,6,3,6,6,5,5
13,7,7,7,5,5,7,7,7,3,7,5,6,6,6,7,7,3,5,6,7,7,7,7,7,7,7
14,7,5,5,7,7,7,7,7,7,7,7,5,7,7,5,7,2,7,7,5,7,5,7,7,7,2
15,6,3,5,4,6,3,7,7,2,2,5,7,5,3,7,7,1,3,5,6,6,7,5,7,6,7
16,7,7,5,7,5,7,7,7,4,5,5,6,7,6,7,7,5,6,6,7,5,6,7,7,5,7
17,7,6,3,4,5,3,6,6,5,4,5,6,6,6,7,5,3,3,6,6,5,7,6,5,6,5
18,6,5,6,5,5,6,7,7,5,5,7,6,6,5,6,6,6,6,7,5,7,6,7,6,6,7
19,5,7,7,5,5,6,7,7,4,7,2,4,6,6,7,5,5,5,5,5,5,6,6,6,6,4
20,5,7,4,4,4,3,5,5,3,4,3,5,6,4,4,3,4,5,5,5,6,5,5,5,5,4
21,6,6,5,5,6,7,7,7,6,4,2,4,7,4,3,6,1,7,7,7,7,6,7,6,7,4
22,7,7,4,4,4,7,6,7,6,3,2,7,6,6,7,5,5,3,7,7,7,7,6,7,7,7
23,6,4,6,6,5,7,7,6,6,5,4,4,5,6,3,6,6,6,5,5,6,6,6,7,6,5
24,5,5,5,4,6,5,6,6,2,6,1,5,5,6,6,5,3,6,6,6,5,3,6,5,5,6
25,6,5,3,5,5,5,7,6,6,6,4,3,6,5,3,7,2,7,7,6,6,6,6,3,7,5
26,7,6,3,3,2,5,6,6,2,6,5,5,6,6,6,6,6,5,7,6,6,7,4,7,5,6
27,6,6,4,6,4,5,6,7,3,7,5,7,7,5,3,5,6,3,7,7,7,7,6,7,7,7
28,6,5,5,5,4,4,6,5,4,6,3,3,6,5,4,6,5,5,7,6,6,6,5,5,6,5
29,7,5,3,5,6,5,5,6,4,5,5,6,7,3,7,7,2,5,6,6,7,6,5,5,6,6
30,7,6,5,1,2,6,6,6,4,7,2,6,6,6,7,6,7,2,6,6,6,7,6,7,6,6
31,6,4,4,6,6,4,6,6,4,3,5,6,6,4,3,6,3,7,7,6,6,4,5,6,6,7
32,5,6,4,6,5,6,7,7,5,7,4,5,6,7,6,6,4,5,6,6,6,5,4,4,5,6
33,7,6,3,4,5,4,7,5,3,3,5,6,7,3,3,5,5,3,6,6,7,6,6,6,7,6
34,7,5,6,5,5,5,6,6,5,6,4,5,4,5,6,5,4,4,5,4,4,6,6,6,5,5
35,5,7,5,6,4,4,6,7,2,7,3,4,5,7,7,5,3,3,5,6,6,3,4,3,6,7
36,6,6,5,7,6,3,6,6,4,6,2,5,6,6,7,7,6,6,6,6,6,6,5,7,7,5
37,6,6,6,3,4,3,6,6,2,5,2,2,6,5,5,5,5,2,6,6,6,6,6,5,5,6
38,7,7,7,6,6,7,7,7,6,7,3,7,7,5,5,7,6,6,7,7,7,7,7,7,7,7
39,6,6,7,5,5,7,7,7,3,7,5,7,7,7,5,6,6,4,7,7,7,6,4,5,7,7
40,6,7,1,4,6,7,7,7,1,3,3,1,7,2,2,7,1,7,7,7,7,1,1,7,7,1
41,6,7,5,6,5,6,7,7,1,6,2,7,7,6,7,6,2,5,6,5,7,7,6,6,7,7
42,5,7,1,5,4,4,7,7,2,4,6,7,7,3,6,6,3,5,5,7,7,5,4,7,7,2
43,6,6,3,4,5,6,6,6,2,4,2,6,6,5,5,5,4,5,5,6,5,5,6,6,6,7
44,6,5,3,5,3,5,5,5,3,6,3,5,6,5,6,6,6,6,6,6,6,6,5,6,6,5
45,6,5,5,4,4,5,7,7,6,6,3,6,6,6,6,5,3,4,6,7,7,6,6,5,6,6
46,7,7,5,4,6,4,7,7,1,4,1,5,5,4,4,5,4,4,5,6,6,7,6,7,6,7
47,7,7,4,5,6,2,6,7,4,3,6,7,7,3,7,7,1,7,7,7,7,7,4,1,7,7
48,6,5,4,3,4,6,7,7,4,4,1,5,6,6,5,5,5,3,6,5,6,6,4,7,5,6
49,7,5,5,4,4,5,7,7,4,5,6,6,7,5,5,6,3,5,7,7,7,6,7,6,7,6
50,7,7,6,5,3,7,7,7,6,6,4,6,7,6,7,6,6,5,6,6,6,7,7,7,7,7
51,6,6,5,4,5,4,7,6,3,4,5,6,7,4,3,5,3,4,6,7,6,6,6,6,6,5
52,6,4,3,6,5,4,7,7,2,4,3,2,6,6,6,2,7,2,6,4,5,7,6,4,5,6
53,7,6,6,5,4,7,5,7,6,4,2,5,7,5,4,6,7,5,7,7,7,6,7,6,7,7
54,6,5,6,3,5,6,6,6,2,6,5,5,6,5,6,6,6,3,6,6,6,5,5,5,6,6
55,7,6,7,5,6,6,7,7,6,6,4,5,6,5,7,6,6,6,5,6,5,7,6,6,6,7
56,5,7,3,4,2,5,3,7,1,1,1,7,5,3,3,6,2,5,5,6,5,5,3,6,6,7
57,5,6,6,4,5,6,7,6,4,6,6,4,5,7,4,7,5,6,6,6,6,7,5,7,6,6
58,5,6,6,4,5,6,7,6,4,6,6,4,5,7,4,7,5,6,6,6,6,7,5,7,6,6
59,7,4,4,6,4,6,7,6,4,5,4,6,7,4,5,7,4,6,6,6,6,6,4,5,6,6
60,7,7,4,4,4,7,7,7,4,4,3,5,7,4,4,6,4,5,6,6,7,6,7,6,6,7
61,6,5,6,4,4,5,6,6,4,5,5,5,6,7,7,7,5,4,5,5,6,6,7,5,7,6
62,7,7,7,6,4,6,7,7,4,7,5,5,7,7,7,6,7,5,7,6,7,7,7,6,6,7
63,6,5,7,6,6,4,7,5,4,7,4,4,6,7,6,6,5,4,6,6,6,7,7,6,6,4
64,7,6,5,5,5,4,7,7,1,7,3,7,5,7,7,6,7,3,6,5,5,7,7,5,7,7
65,7,7,7,6,6,5,6,7,5,6,4,7,7,7,6,6,2,6,7,6,6,7,6,7,5,7
66,4,6,5,3,3,5,7,6,1,5,3,5,5,6,6,5,5,4,5,6,6,7,5,5,5,7
67,7,6,5,3,3,5,6,7,2,6,5,5,5,7,6,6,6,4,5,5,5,6,6,5,5,7
68,5,6,5,5,4,6,6,6,5,4,5,4,5,5,5,6,3,6,5,5,5,6,5,5,6,6
69,7,7,7,6,6,6,7,7,7,6,5,6,7,7,6,7,7,5,7,7,7,7,7,7,7,7
70,7,7,5,5,4,7,7,7,1,5,1,6,5,6,6,2,6,3,7,7,7,7,7,5,7,6
71,6,7,6,6,3,5,7,6,3,6,4,5,6,7,6,4,3,4,6,7,6,7,6,7,6,7
72,6,5,5,6,4,6,6,5,3,4,2,6,6,7,4,4,3,6,6,6,7,6,4,6,7,7
73,5,7,7,6,6,6,6,6,4,6,4,5,5,6,5,6,6,3,6,6,6,6,6,6,6,5
74,7,5,6,7,4,5,6,6,2,6,1,7,7,7,7,5,4,1,5,7,7,6,5,6,7,6
75,6,2,2,6,5,2,3,6,5,1,5,4,5,3,6,7,5,5,4,7,5,5,5,7,6,5
76,7,7,7,6,7,6,6,7,6,6,5,7,7,6,5,6,6,5,7,7,7,6,6,6,7,7
